country,survey_name,survey_food_item_name,standard_original_food_id,standard_original_food_name,source
MWI,IHS5,CHICK PEA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHIGWADWA (CASSAVA LEAVES),NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHIKANDE/ CHINAKA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHILAZI,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHIMIMINA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHITAMBE (MFUTSO),NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,CONDENSED MILK,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,CRABS,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,DRIED CASSAVA (MAKAKA),NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,ENERGY DRINK,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,FROZY DRINK,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,GRAPES,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,GREENPAPER,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,JIGGS,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,KAMBA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,KANYENYA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,KHALE,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,KINDI,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,LABLAB,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,LAMBS PUFFS,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MAGAGADEYA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MAGHOKOLO,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MAHAWADI AND BUTTER BEANS,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MANDALENA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MATEMBA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MATOKOLO,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MATOWO,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MAYONNAISE,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MBALAGA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MBALAGA (FRIED SWEETPOTATOES),NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MCHERENJE,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MFUTSO,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MINCE MEAT,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MIPOZA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MOLINA LEAVES,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MORINGA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MPAMA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MPIRU,NA,,mwi-ihs5-non_standard_food_list
